MAROB_ID_1,MAROB_ID_2,messzeit,kennung,geogr_breite,geogr_laenge,Score
7761394,7761413,1,1.0,1.0,1.0,1.0
7781569,7781587,1,1.0,1.0,1.0,1.0
7781568,7781587,1,1.0,1.0,1.0,1.0
7781568,7781569,1,1.0,1.0,1.0,1.0
7819807,7819796,1,1.0,1.0,1.0,1.0
7861368,7861393,1,1.0,1.0,1.0,1.0
7869302,7869321,1,1.0,1.0,1.0,1.0
7915251,7915299,1,1.0,1.0,1.0,1.0
7940459,7940510,1,1.0,1.0,1.0,1.0
7975996,7975921,1,1.0,1.0,1.0,1.0
7986107,7986074,1,1.0,1.0,1.0,1.0
7995941,7995884,1,1.0,1.0,1.0,1.0
8045545,8045466,1,1.0,1.0,1.0,1.0
8076472,8076501,1,1.0,1.0,1.0,1.0
8085319,8085286,1,1.0,1.0,1.0,1.0
8121060,8121098,1,1.0,1.0,1.0,1.0
8121062,8121098,1,1.0,1.0,1.0,1.0
8121062,8121060,1,1.0,1.0,1.0,1.0
8148240,8148281,1,1.0,1.0,1.0,1.0
8170705,8170748,1,1.0,1.0,1.0,1.0
8179262,8179192,1,1.0,1.0,1.0,1.0
8197135,8197168,1,1.0,1.0,1.0,1.0
8200894,8200916,1,1.0,1.0,1.0,1.0
8222378,8222465,1,1.0,1.0,1.0,1.0
8239299,8239224,1,1.0,1.0,1.0,1.0
8252051,8252053,1,1.0,1.0,1.0,1.0
8280780,8280775,1,1.0,1.0,1.0,1.0
8308770,8308815,1,1.0,1.0,1.0,1.0
8313800,8313746,1,1.0,1.0,1.0,1.0
8339625,8339648,1,1.0,1.0,1.0,1.0
8354402,8354370,1,1.0,1.0,1.0,1.0
8370251,8370343,1,1.0,1.0,1.0,1.0
8401489,8401554,1,1.0,1.0,1.0,1.0
8416852,8416768,1,1.0,1.0,1.0,1.0
8439687,8439707,1,1.0,1.0,1.0,1.0
8463723,8463708,1,1.0,1.0,1.0,1.0
8463724,8463708,1,1.0,1.0,1.0,1.0
8463724,8463723,1,1.0,1.0,1.0,1.0
8502273,8502299,1,1.0,1.0,1.0,1.0
8529139,8529147,1,1.0,1.0,1.0,1.0
